index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
0	d u	d ɪ d	do	did	⋊ d u ⋉	⋊ d ɪ d ⋉
1	s eɪ	s ɛ d	say	said	⋊ s e ⋉	⋊ s ɛ d ⋉
2	g oʊ	w ɛ n t	go	went	⋊ g o ⋉	⋊ w ɛ n t ⋉
3	g ɛ t	g a t	get	got	⋊ g ɛ t ⋉	⋊ g a t ⋉
4	n oʊ	n u	know	knew	⋊ n o ⋉	⋊ n u ⋉
5	s i	s ɔ	see	saw	⋊ s i ⋉	⋊ s ɔ ⋉
6	θ ɪ ŋ k	θ ɔ t	think	thought	⋊ θ ɪ ŋ k ⋉	⋊ θ ɔ t ⋉
7	k ʌ m	k eɪ m	come	came	⋊ k ʌ m ⋉	⋊ k e m ⋉
8	t eɪ k	t ʊ k	take	took	⋊ t e k ⋉	⋊ t ʊ k ⋉
9	l ʊ k	l ʊ k t	look	looked	⋊ l ʊ k ⋉	⋊ l ʊ k t ⋉
10	g ɪ v	g eɪ v	give	gave	⋊ g ɪ v ⋉	⋊ g e v ⋉
11	w ɔ n t	w ɔ n t ə d	want	wanted	⋊ w ɔ n t ⋉	⋊ w ɔ n t ɪ d ⋉
12	f aɪ n d	f aʊ n d	find	found	⋊ f a ɪ n d ⋉	⋊ f a ʊ n d ⋉
13	t ɛ l	t oʊ l d	tell	told	⋊ t ɛ l ⋉	⋊ t o l d ⋉
14	s i m	s i m d	seem	seemed	⋊ s i m ⋉	⋊ s i m d ⋉
15	f i l	f ɛ l t	feel	felt	⋊ f i l ⋉	⋊ f ɛ l t ⋉
16	b ɪ k ʌ m	b ɪ k eɪ m	become	became	⋊ b ɪ k ʌ m ⋉	⋊ b ɪ k e m ⋉
17	æ s k	æ s k t	ask	asked	⋊ ɑ s k ⋉	⋊ ɑ s k t ⋉
18	p ʊ t	p ʊ t	put		⋊ p ʊ t ⋉	⋊ p ʊ t ⋉
19	j u z	j u z d	use	used	⋊ j u z ⋉	⋊ j u z d ⋉
20	l i v	l ɛ f t	leave	left	⋊ l i v ⋉	⋊ l ɛ f t ⋉
