wordform1	wordform2	morphosyn	human_rating	stem	output
b aɪ z	b aɪ z d	V;PST;1;SG	5.304348	⋊ b a ɪ z ⋉	⋊ b a ɪ z d ⋉
b aɪ z	b oʊ z	V;PST;1;SG	4.565217	⋊ b a ɪ z ⋉	⋊ b o z ⋉
b l eɪ f	b l eɪ f t	V;PST;1;SG	6.318182	⋊ b l e f ⋉	⋊ b l e f t ⋉
b l eɪ f	b l ɛ f t	V;PST;1;SG	4.090909	⋊ b l e f ⋉	⋊ b l ɛ f t ⋉
b l ɪ g	b l ɪ g d	V;PST;1;SG	5.666667	⋊ b l ɪ g ⋉	⋊ b l ɪ g d ⋉
b l ɪ g	b l ʌ g	V;PST;1;SG	4.166667	⋊ b l ɪ g ⋉	⋊ b l ʌ g ⋉
b ɹ ɛ dʒ	b ɹ ɛ dʒ d	V;PST;1;SG	6.333333	⋊ b ɹ ɛ d ʒ ⋉	⋊ b ɹ ɛ d ʒ d ⋉
b ɹ ɛ dʒ	b ɹ oʊ dʒ	V;PST;1;SG	3.428571	⋊ b ɹ ɛ d ʒ ⋉	⋊ b ɹ o d ʒ ⋉
tʃ eɪ k	tʃ eɪ k t	V;PST;1;SG	5.73913	⋊ t ʃ e k ⋉	⋊ t ʃ e k t ⋉
tʃ eɪ k	tʃ ʊ k	V;PST;1;SG	5.043478	⋊ t ʃ e k ⋉	⋊ t ʃ ʊ k ⋉
tʃ u l	tʃ u l d	V;PST;1;SG	6.125	⋊ t ʃ u l ⋉	⋊ t ʃ u l d ⋉
tʃ u l	tʃ oʊ l	V;PST;1;SG	3.708333	⋊ t ʃ u l ⋉	⋊ t ʃ o l ⋉
d eɪ p	d eɪ p t	V;PST;1;SG	6.25	⋊ d e p ⋉	⋊ d e p t ⋉
d eɪ p	d æ p t	V;PST;1;SG	4.0	⋊ d e p ⋉	⋊ d ɑ p t ⋉
d aɪ z	d aɪ z d	V;PST;1;SG	5.416667	⋊ d a ɪ z ⋉	⋊ d a ɪ z d ⋉
d aɪ z	d oʊ z	V;PST;1;SG	5.041667	⋊ d a ɪ z ⋉	⋊ d o z ⋉
d ɹ aɪ s	d ɹ aɪ s t	V;PST;1;SG	6.26087	⋊ d ɹ a ɪ s ⋉	⋊ d ɹ a ɪ s t ⋉
d ɹ aɪ s	d ɹ oʊ s	V;PST;1;SG	4.478261	⋊ d ɹ a ɪ s ⋉	⋊ d ɹ o s ⋉
d ɹ ɪ t	d ɹ ɪ t ə d	V;PST;1;SG	4.956522	⋊ d ɹ ɪ t ⋉	⋊ d ɹ ɪ t ɪ d ⋉
d ɹ ɪ t	d ɹ ɪ t	V;PST;1;SG	5.130435	⋊ d ɹ ɪ t ⋉	⋊ d ɹ ɪ t ⋉
d ɹ ɪ t	d ɹ æ t	V;PST;1;SG	3.65	⋊ d ɹ ɪ t ⋉	⋊ d ɹ ɑ t ⋉
f l i p	f l i p t	V;PST;1;SG	5.0	⋊ f l i p ⋉	⋊ f l i p t ⋉
f l i p	f l ɛ p t	V;PST;1;SG	6.086957	⋊ f l i p ⋉	⋊ f l ɛ p t ⋉
f l ɪ dʒ	f l ɪ dʒ d	V;PST;1;SG	6.208333	⋊ f l ɪ d ʒ ⋉	⋊ f l ɪ d ʒ d ⋉
f l ɪ dʒ	f l ʌ dʒ	V;PST;1;SG	4.875	⋊ f l ɪ d ʒ ⋉	⋊ f l ʌ d ʒ ⋉
f ɹ oʊ	f ɹ oʊ d	V;PST;1;SG	5.833333	⋊ f ɹ o ⋉	⋊ f ɹ o d ⋉
f ɹ oʊ	f ɹ u	V;PST;1;SG	4.333333	⋊ f ɹ o ⋉	⋊ f ɹ u ⋉
g ɛ ɹ	g ɛ ɹ d	V;PST;1;SG	6.565217	⋊ g ɛ ɹ ⋉	⋊ g ɛ ɹ d ⋉
g ɛ ɹ	g ɔ ɹ	V;PST;1;SG	3.391304	⋊ g ɛ ɹ ⋉	⋊ g ɔ ɹ ⋉
g ɛ z	g ɛ z d	V;PST;1;SG	6.608696	⋊ g ɛ z ⋉	⋊ g ɛ z d ⋉
g ɛ z	g a z	V;PST;1;SG	2.521739	⋊ g ɛ z ⋉	⋊ g a z ⋉
g l i d	g l i d ə d	V;PST;1;SG	4.217391	⋊ g l i d ⋉	⋊ g l i d ɪ d ⋉
g l i d	g l ɛ d	V;PST;1;SG	6.0	⋊ g l i d ⋉	⋊ g l ɛ d ⋉
g l i d	g l i d	V;PST;1;SG	4.09	⋊ g l i d ⋉	⋊ g l i d ⋉
g l ɪ p	g l ɪ p t	V;PST;1;SG	5.954545	⋊ g l ɪ p ⋉	⋊ g l ɪ p t ⋉
g l ɪ p	g l ʌ p	V;PST;1;SG	3.454545	⋊ g l ɪ p ⋉	⋊ g l ʌ p ⋉
g l ɪ t	g l ɪ t ə d	V;PST;1;SG	5.0	⋊ g l ɪ t ⋉	⋊ g l ɪ t ɪ d ⋉
g l ɪ t	g l ɪ t	V;PST;1;SG	5.208333	⋊ g l ɪ t ⋉	⋊ g l ɪ t ⋉
g l ɪ t	g l æ t	V;PST;1;SG	3.75	⋊ g l ɪ t ⋉	⋊ g l ɑ t ⋉
g u d	g u d ə d	V;PST;1;SG	4.9	⋊ g u d ⋉	⋊ g u d ɪ d ⋉
g u d	g u d	V;PST;1;SG	5.55	⋊ g u d ⋉	⋊ g u d ⋉
n eɪ s	n eɪ s t	V;PST;1;SG	6.565217	⋊ n e s ⋉	⋊ n e s t ⋉
n eɪ s	n oʊ s	V;PST;1;SG	2.913043	⋊ n e s ⋉	⋊ n o s ⋉
n oʊ l d	n oʊ l d ə d	V;PST;1;SG	4.636364	⋊ n o l d ⋉	⋊ n o l d ɪ d ⋉
n oʊ l d	n oʊ l d	V;PST;1;SG	6.045455	⋊ n o l d ⋉	⋊ n o l d ⋉
n oʊ l d	n ɛ l d	V;PST;1;SG	5.14	⋊ n o l d ⋉	⋊ n ɛ l d ⋉
n ʌ ŋ	n ʌ ŋ d	V;PST;1;SG	5.368421	⋊ n ʌ ŋ ⋉	⋊ n ʌ ŋ d ⋉
n ʌ ŋ	n æ ŋ	V;PST;1;SG	4.315789	⋊ n ʌ ŋ ⋉	⋊ n ɑ ŋ ⋉
p æ ŋ k	p æ ŋ k t	V;PST;1;SG	6.304348	⋊ p ɑ ŋ k ⋉	⋊ p ɑ ŋ k t ⋉
p æ ŋ k	p ʌ ŋ k	V;PST;1;SG	4.0	⋊ p ɑ ŋ k ⋉	⋊ p ʌ ŋ k ⋉
p l ɪ m	p l ɪ m d	V;PST;1;SG	6.130435	⋊ p l ɪ m ⋉	⋊ p l ɪ m d ⋉
p l ɪ m	p l ʌ m	V;PST;1;SG	4.173913	⋊ p l ɪ m ⋉	⋊ p l ʌ m ⋉
p l ɪ m	p l æ m	V;PST;1;SG	3.57	⋊ p l ɪ m ⋉	⋊ p l ɑ m ⋉
p ɹ i k	p ɹ i k t	V;PST;1;SG	5.833333	⋊ p ɹ i k ⋉	⋊ p ɹ i k t ⋉
p ɹ i k	p ɹ oʊ k	V;PST;1;SG	3.916667	⋊ p ɹ i k ⋉	⋊ p ɹ o k ⋉
p ɹ i k	p ɹ ɛ k	V;PST;1;SG	3.54	⋊ p ɹ i k ⋉	⋊ p ɹ ɛ k ⋉
k w i d	k w i d ə d	V;PST;1;SG	4.652174	⋊ k w i d ⋉	⋊ k w i d ɪ d ⋉
k w i d	k w ɛ d	V;PST;1;SG	5.347826	⋊ k w i d ⋉	⋊ k w ɛ d ⋉
ɹ æ s k	ɹ æ s k t	V;PST;1;SG	6.416667	⋊ ɹ ɑ s k ⋉	⋊ ɹ ɑ s k t ⋉
ɹ æ s k	ɹ ʌ s k	V;PST;1;SG	4.083333	⋊ ɹ ɑ s k ⋉	⋊ ɹ ʌ s k ⋉
ɹ aɪ f	ɹ aɪ f t	V;PST;1;SG	5.952381	⋊ ɹ a ɪ f ⋉	⋊ ɹ a ɪ f t ⋉
ɹ aɪ f	ɹ oʊ f	V;PST;1;SG	4.142857	⋊ ɹ a ɪ f ⋉	⋊ ɹ o f ⋉
ɹ aɪ f	ɹ ɪ f	V;PST;1;SG	3.24	⋊ ɹ a ɪ f ⋉	⋊ ɹ ɪ f ⋉
ʃ ɪ l k	ʃ ɪ l k t	V;PST;1;SG	5.791667	⋊ ʃ ɪ l k ⋉	⋊ ʃ ɪ l k t ⋉
ʃ ɪ l k	ʃ æ l k	V;PST;1;SG	3.666667	⋊ ʃ ɪ l k ⋉	⋊ ʃ ɑ l k ⋉
s k ɹ aɪ d	s k ɹ aɪ d ə d	V;PST;1;SG	4.173913	⋊ s k ɹ a ɪ d ⋉	⋊ s k ɹ a ɪ d ɪ d ⋉
s k ɹ aɪ d	s k ɹ oʊ d	V;PST;1;SG	4.391304	⋊ s k ɹ a ɪ d ⋉	⋊ s k ɹ o d ⋉
s k ɹ aɪ d	s k ɹ ɪ d	V;PST;1;SG	3.57	⋊ s k ɹ a ɪ d ⋉	⋊ s k ɹ ɪ d ⋉
s p æ k	s p æ k t	V;PST;1;SG	6.217391	⋊ s p ɑ k ⋉	⋊ s p ɑ k t ⋉
s p æ k	s p ʌ k	V;PST;1;SG	3.956522	⋊ s p ɑ k ⋉	⋊ s p ʌ k ⋉
s p l ɪ ŋ	s p l ɪ ŋ d	V;PST;1;SG	4.363636	⋊ s p l ɪ ŋ ⋉	⋊ s p l ɪ ŋ d ⋉
s p l ɪ ŋ	s p l ʌ ŋ	V;PST;1;SG	5.454545	⋊ s p l ɪ ŋ ⋉	⋊ s p l ʌ ŋ ⋉
s p l ɪ ŋ	s p l æ ŋ	V;PST;1;SG	4.5	⋊ s p l ɪ ŋ ⋉	⋊ s p l ɑ ŋ ⋉
s t ɪ n	s t ɪ n d	V;PST;1;SG	5.304348	⋊ s t ɪ n ⋉	⋊ s t ɪ n d ⋉
s t ɪ n	s t ʌ n	V;PST;1;SG	4.782609	⋊ s t ɪ n ⋉	⋊ s t ʌ n ⋉
s t ɪ n	s t æ n	V;PST;1;SG	2.74	⋊ s t ɪ n ⋉	⋊ s t ɑ n ⋉
s t ɪ p	s t ɪ p t	V;PST;1;SG	5.916667	⋊ s t ɪ p ⋉	⋊ s t ɪ p t ⋉
s t ɪ p	s t ʌ p	V;PST;1;SG	4.5	⋊ s t ɪ p ⋉	⋊ s t ʌ p ⋉
s t aɪ ɹ	s t aɪ ɹ d	V;PST;1;SG	6.0	⋊ s t a ɪ ɹ ⋉	⋊ s t a ɪ ɹ d ⋉
s t aɪ ɹ	s t oʊ ɹ	V;PST;1;SG	3.217391	⋊ s t a ɪ ɹ ⋉	⋊ s t o ɹ ⋉
t a ɹ k	t a ɹ k t	V;PST;1;SG	6.333333	⋊ t a ɹ k ⋉	⋊ t a ɹ k t ⋉
t a ɹ k	t ɔ ɹ k	V;PST;1;SG	3.708333	⋊ t a ɹ k ⋉	⋊ t ɔ ɹ k ⋉
t i p	t i p t	V;PST;1;SG	5.913043	⋊ t i p ⋉	⋊ t i p t ⋉
t i p	t ɛ p t	V;PST;1;SG	4.695652	⋊ t i p ⋉	⋊ t ɛ p t ⋉
