stem	output	model_rating	rule_idx	wordform1	wordform2
⋊ aː x ə n ⋉	⋊ aː x t ⋉	0.6538247311243649	7591.0	aː x ə n	ɡ ə aː x t
⋊ aː x ə n ⋉	⋊ aː x ə n ⋉	0.036760367195438716	16610.0	aː x ə n	ɡ ə aː x ə n
⋊ a l ə n ⋉	⋊ a l t ⋉	0.8026553808099589	4275.0	a l ə n	ɡ ə a l t
⋊ a l ə n ⋉	⋊ a l ə n ⋉	0.05552534483781792	14584.0	a l ə n	ɡ ə a l ə n
⋊ a s ə n ⋉	⋊ a s t ⋉	0.7110605343673823	6860.0	a s ə n	ɡ ə a s t
⋊ a s ə n ⋉	⋊ a s ə n ⋉	0.11760058070193821	12531.0	a s ə n	ɡ ə a s ə n
⋊ a ʃ ə n ⋉	⋊ a ʃ t ⋉	0.7069791428268694	6876.0	a ʃ ə n	ɡ ə a ʃ t
⋊ a ʃ ə n ⋉	⋊ a ʃ ə n ⋉	0.06123394120566848	14237.0	a ʃ ə n	ɡ ə a ʃ ə n
⋊ a u f ə n ⋉	⋊ a u f t ⋉	0.6588543512364848	7581.0	au̯ f ə n	ɡ ə au̯ f t
⋊ a u f ə n ⋉	⋊ a u f ə n ⋉	0.1517452888793796	12124.0	au̯ f ə n	ɡ ə au̯ f ə n
⋊ b a i ə n ⋉	⋊ b a i n ⋉	0.01888021421963113	21136.0	b ai̯ ə n	ɡ ə b ai̯ n
⋊ b a i ə n ⋉	⋊ b a i t ⋉	0.8663704479491715	3117.0	b ai̯ ə n	ɡ ə b ai̯ t
⋊ b a i f ə n ⋉	⋊ b a i f ə n ⋉	0.06123394120566848	14237.0	b ai̯ f ə n	ɡ ə b ai̯ f ə n
⋊ b a i f ə n ⋉	⋊ b ɪ f ə n ⋉	0.27408803791111525	11066.0	b ai̯ f ə n	ɡ ə b ɪ f ə n
⋊ b a i t ə n ⋉	⋊ b a i t ə t ⋉	0.6324553057426875	7690.0	b ai̯ t ə n	ɡ ə b ai̯ t ə t
⋊ b a i t ə n ⋉	⋊ b iː t ə n ⋉			b ai̯ t ə n	ɡ ə b iː t ə n
⋊ b ə h iː b ə n ⋉	⋊ b ə h oː b ə n ⋉			b ə h iː b ə n	b ə h oː b ə n
⋊ b ə h iː b ə n ⋉	⋊ b ə h iː p t ⋉	0.6906694674772743	7051.0	b ə h iː b ə n	b ə h iː p t
⋊ b ə h uː t ə n ⋉	⋊ b ə h uː t ə t ⋉	0.7079737592607558	6874.0	b ə h uː t ə n	b ə h uː t ə t
⋊ b ə h uː t ə n ⋉	⋊ b ə h uː t ə n ⋉	0.042413708355345615	15790.0	b ə h uː t ə n	b ə h uː t ə n
⋊ b ɛː n ə n ⋉	⋊ b ɛː n t ⋉	0.8154089183855899	4217.0	b ɛː n ə n	ɡ ə b ɛː n t
⋊ b ɛː n ə n ⋉	⋊ b aː n t ⋉			b ɛː n ə n	ɡ ə b aː n t
⋊ b iː ə n ⋉	⋊ b oː n ⋉			b iːə n	ɡ ə b oː n
⋊ b iː ə n ⋉	⋊ b oː t ⋉			b iːə n	ɡ ə b oː t
⋊ b l a i d ə n ⋉	⋊ b l ɪ t ə n ⋉			b l ai̯ d ə n	ɡ ə b l ɪ t ə n
⋊ b l a i d ə n ⋉	⋊ b l a i d ə t ⋉	0.6627805741412518	7494.0	b l ai̯ d ə n	ɡ ə b l ai̯ d ə t
⋊ b l a i n ə n ⋉	⋊ b l a i n t ⋉	0.8154089183855899	4217.0	b l ai̯ n ə n	ɡ ə b l ai̯ n t
⋊ b l a i n ə n ⋉	⋊ b l iː n ə n ⋉	0.13844638279162996	12247.0	b l ai̯ n ə n	ɡ ə b l iː n ə n
⋊ b r a i ə n ⋉	⋊ b r a i t ⋉	0.8663704479491715	3117.0	b r ai̯ ə n	ɡ ə b r ai̯ t
⋊ b r a i ə n ⋉	⋊ b r iː n ⋉	0.3907841991905233	10201.0	b r ai̯ ə n	ɡ ə b r iː n
⋊ b r ɛ f t ə n ⋉	⋊ b r ɔ f t ə n ⋉	0.2493843501198858	11232.0	b r ɛ f t ə n	ɡ ə b r ɔ f t ə n
⋊ b r ɛ f t ə n ⋉	⋊ b r ɛ f t ə t ⋉	0.7842522090054095	5958.0	b r ɛ f t ə n	ɡ ə b r ɛ f t ə t
⋊ b r ɛ n d ə n ⋉	⋊ b r ɛ n d ə t ⋉	0.5075916449468018	9101.0	b r ɛ n d ə n	ɡ ə b r ɛ n d ə t
⋊ b r ɛ n d ə n ⋉	⋊ b r a n d ə t ⋉			b r ɛ n d ə n	ɡ ə b r a n d ə t
⋊ b r ɛ s ə n ⋉	⋊ b r ɔ s ə n ⋉	0.3664320682760081	10415.0	b r ɛ s ə n	ɡ ə b r ɔ s ə n
⋊ b r ɛ s ə n ⋉	⋊ b r ɛ s ə n ⋉	0.1634679024806957	12025.0	b r ɛ s ə n	ɡ ə b r ɛ s ə n
⋊ b r uː t ə n ⋉	⋊ b r uː t ə t ⋉	0.7079737592607558	6874.0	b r uː t ə n	ɡ ə b r uː t ə t
⋊ b r uː t ə n ⋉	⋊ b r uː t ə n ⋉	0.042413708355345615	15790.0	b r uː t ə n	ɡ ə b r uː t ə n
⋊ d a i t ə n ⋉	⋊ d a i t ə t ⋉	0.6324553057426875	7690.0	d ai̯ t ə n	ɡ ə d ai̯ t ə t
⋊ d a i t ə n ⋉	⋊ d iː t ə n ⋉			d ai̯ t ə n	ɡ ə d iː t ə n
⋊ d a u ə n ⋉	⋊ d a u t ⋉	0.8456014512148586	4002.0	d au̯ ə n	ɡ ə d au̯ t
⋊ d a u ə n ⋉	⋊ d a u n ⋉	0.01888021421963113	21136.0	d au̯ ə n	ɡ ə d au̯ n
⋊ d a u f ə n ⋉	⋊ d ɔ f ə n ⋉			d au̯ f ə n	ɡ ə d ɔ f ə n
⋊ d a u f ə n ⋉	⋊ d a u f t ⋉	0.8478608772434439	3530.0	d au̯ f ə n	ɡ ə d au̯ f t
⋊ d ɛ n d ə n ⋉	⋊ d a n d ə t ⋉			d ɛ n d ə n	ɡ ə d a n d ə t
⋊ d ɛ n d ə n ⋉	⋊ d a n t ⋉			d ɛ n d ə n	ɡ ə d a n t
⋊ d ɛ r b ə n ⋉	⋊ d a r b ə n ⋉			d ɛ r b ə n	ɡ ə d a r b ə n
⋊ d ɛ r b ə n ⋉	⋊ d ɛ r p t ⋉	0.7119447104550215	6851.0	d ɛ r b ə n	ɡ ə d ɛ r p t
⋊ d ɪ n d ə n ⋉	⋊ d ɪ n d ə t ⋉	0.5061449344166229	9112.0	d ɪ n d ə n	ɡ ə d ɪ n d ə t
⋊ d ɪ n d ə n ⋉	⋊ d ʊ n d ə n ⋉	0.17634917915699377	11897.0	d ɪ n d ə n	ɡ ə d ʊ n d ə n
⋊ d r ɛ f t ə n ⋉	⋊ d r ɔ f t ə n ⋉	0.32937785815918696	10664.0	d r ɛ f t ə n	ɡ ə d r ɔ f t ə n
⋊ d r ɛ f t ə n ⋉	⋊ d r ɛ f t ə t ⋉	0.7842522090054095	5958.0	d r ɛ f t ə n	ɡ ə d r ɛ f t ə t
⋊ d r ɪ ŋ ə n ⋉	⋊ d r ʊ ŋ ə n ⋉	0.46585045016278476	9594.0	d r ɪ ŋ ə n	ɡ ə d r ʊ ŋ ə n
⋊ d r ɪ ŋ ə n ⋉	⋊ d r ɔ ŋ ə n ⋉			d r ɪ ŋ ə n	ɡ ə d r ɔ ŋ ə n
⋊ d ʏ n d ə n ⋉	⋊ d ʏ n d ə t ⋉	0.6843062355909866	7080.0	d ʏ n d ə n	ɡ ə d ʏ n d ə t
⋊ d ʏ n d ə n ⋉	⋊ d o n d ə t ⋉			d ʏ n d ə n	ɡ ə d o n d ə t
⋊ ə l a i n ə n ⋉	⋊ l a i n t ⋉			ə l ai̯ n ə n	ɡ ə l ai̯ n t
⋊ ə r aː b ə n ⋉	⋊ r aː b ə n ⋉			ə r aː b ə n	ɡ ə r aː b ə n
⋊ ə r aː b ə n ⋉	⋊ r aː p t ⋉			ə r aː b ə n	ɡ ə r aː p t
⋊ ə r a i z ə n ⋉	⋊ r a i s t ⋉			ə r ai̯ z ə n	ɡ ə r ai̯ s t
⋊ ə r a i z ə n ⋉	⋊ b ə r a i s t ⋉			ə r ai̯ z ə n	b ə r ai̯ s t
⋊ ɛː r ə n ⋉	⋊ ɛː r t ⋉	0.9653962686131645	1311.0	ɛː r ə n	ɡ ə ɛː r t
