stem	output	model_rating	rule_idx	wordform1	wordform2
⋊ b ɑ s t ⋉	⋊ b ɑ s t ɪ d ⋉			b ɑː s t	b ɑː s t ɪ d
⋊ b ɑ s t ⋉	⋊ b ɑ s t ⋉	0.026714142011704	15.0	b ɑː s t	b ɑː s t
⋊ b ɪ n d ⋉	⋊ b ɪ n d ɪ d ⋉			b ɪ n d	b ɪ n d ɪ d
⋊ b ɪ n d ⋉	⋊ b ɪ n t ⋉	0.0748648874440329	30298.0	b ɪ n d	b ɪ n t
⋊ b l a ɪ ⋉	⋊ b l a ɪ d ⋉			b l aɪ	b l aɪ d
⋊ b l a ɪ ⋉	⋊ b l u ⋉			b l aɪ	b l uː
⋊ b l e k ⋉	⋊ b l e k t ⋉			b l eɪ k	b l eɪ k t
⋊ b l e k ⋉	⋊ b l e k ⋉	0.026714142011704	15.0	b l eɪ k	b l eɪ k
⋊ b ɹ ʌ s t ⋉	⋊ b ɹ ʌ s t ɪ d ⋉			b r ʌ s t	b r ʌ s t ɪ d
⋊ b ɹ ʌ s t ⋉	⋊ b ɹ ʌ s t ⋉	0.026714142011704	15.0	b r ʌ s t	b r ʌ s t
⋊ d ɹ i v ⋉	⋊ d ɹ i v d ⋉			d r iː v	d r iː v d
⋊ d ɹ i v ⋉	⋊ d ɹ ɛ f t ⋉	0.1776774646684995	30563.0	d r iː v	d r ɛ f t
⋊ d ʒ ɪ d ⋉	⋊ d ʒ ɪ d ɪ d ⋉			d ʒ ɪ d	d ʒ ɪ d ɪ d
⋊ d ʒ ɪ d ⋉	⋊ d ʒ ɪ d ⋉	0.026714142011704	15.0	d ʒ ɪ d	d ʒ ɪ d
⋊ ə l a ɪ z ⋉	⋊ ə l a ɪ z d ⋉			ə l aɪ z	ə l aɪ z d
⋊ ə l a ɪ z ⋉	⋊ ə l o z ⋉	0.5775233292526348	30243.0	ə l aɪ z	ə l əʊ z
⋊ f ɛ t ⋉	⋊ f ɛ t ɪ d ⋉			f ɛ t	f ɛ t ɪ d
⋊ f ɛ t ⋉	⋊ f ɛ t ⋉	0.026714142011704	15.0	f ɛ t	f ɛ t
⋊ f ɪ l d ⋉	⋊ f ɪ l d ɪ d ⋉			f ɪ l d	f ɪ l d ɪ d
⋊ f ɪ l d ⋉	⋊ f ɪ l t ⋉	0.0748648874440329	30298.0	f ɪ l d	f ɪ l t
⋊ f ɪ ŋ ⋉	⋊ f ɪ ŋ d ⋉			f ɪ ŋ	f ɪ ŋ d
⋊ f ɪ ŋ ⋉	⋊ f ʌ ŋ ⋉	0.3900233292526348	30379.0	f ɪ ŋ	f ʌ ŋ
⋊ f l ɪ ŋ k ⋉	⋊ f l ɪ ŋ k t ⋉			f l ɪ ŋ k	f l ɪ ŋ k t
⋊ f l ɪ ŋ k ⋉	⋊ f l ʌ ŋ k ⋉	0.3900233292526348	30379.0	f l ɪ ŋ k	f l ʌ ŋ k
⋊ f ɹ a ɪ v ⋉	⋊ f ɹ a ɪ v d ⋉			f r aɪ v	f r aɪ v d
⋊ f ɹ a ɪ v ⋉	⋊ f ɹ o v ⋉	0.5775233292526348	30243.0	f r aɪ v	f r əʊ v
⋊ f ɹ i m ⋉	⋊ f ɹ i m d ⋉			f r iː m	f r iː m d
⋊ f ɹ i m ⋉	⋊ f ɹ ɛ m p t ⋉			f r iː m	f r ɛ m p t
⋊ f ɹ ɪ ŋ k ⋉	⋊ f ɹ ɪ ŋ k t ⋉			f r ɪ ŋ k	f r ɪ ŋ k t
⋊ f ɹ ɪ ŋ k ⋉	⋊ f ɹ a ŋ k ⋉	0.4730198553349573	30127.0	f r ɪ ŋ k	f r a ŋ k
⋊ g ɑ s t ⋉	⋊ g ɑ s t ɪ d ⋉			ɡ ɑː s t	ɡ ɑː s t ɪ d
⋊ g ɑ s t ⋉	⋊ g ɑ s t ⋉	0.026714142011704	15.0	ɡ ɑː s t	ɡ ɑː s t
⋊ g e k ⋉	⋊ g e k t ⋉			ɡ eɪ k	ɡ eɪ k t
⋊ g e k ⋉	⋊ g ʊ k ⋉			ɡ eɪ k	ɡ ʊ k
⋊ g l ɪ t ⋉	⋊ g l ɪ t ɪ d ⋉			ɡ l ɪ t	ɡ l ɪ t ɪ d
⋊ g l ɪ t ⋉	⋊ g l ɪ t ⋉	0.026714142011704	15.0	ɡ l ɪ t	ɡ l ɪ t
