rule_idx	rule	rule_regex	hits	scope	confidence
3592	ə n -> t / X [-trill, -LABIAL, -round, -labiodental] [-C/V, +syllabic, +long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, +tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (a|ə|ɛ|i|ɪ|ŋ|n|l|ç|x|k|g|ʒ|z|t|ʃ|s|d|dʒ|tʃ|ts|j|h|aː|eː|ɛː|iː) (iː) (r) __ (⋉)	399.0	399.0	0.9985275790071556
6017	ə n -> t / X [-trill, -nasal] [-C/V, +syllabic, +long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, +tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (a|ɔ|o|œ|ə|ɛ|u|ʊ|i|ʏ|ɪ|l|ç|x|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|dʒ|tʃ|ts|pf|j|h|aː|oː|eː|øː|ɛː|uː|yː|iː) (iː) (r) __ (⋉)	396.0	396.0	0.9985164502517012
7859	ə n -> t / X [-LABIAL, -round, -labiodental] [-C/V, +syllabic, +long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, +tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (a|ə|ɛ|i|ɪ|ŋ|r|n|l|ç|x|k|g|ʒ|z|t|ʃ|s|d|dʒ|tʃ|ts|j|h|aː|eː|ɛː|iː) (iː) (r) __ (⋉)	443.0	444.0	0.9962833604279157
5975	ə n -> t / X [-nasal] [-C/V, +syllabic, +long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, +tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (a|ɔ|o|œ|ə|ɛ|u|ʊ|i|ʏ|ɪ|r|l|ç|x|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|dʒ|tʃ|ts|pf|j|h|aː|oː|eː|øː|ɛː|uː|yː|iː) (iː) (r) __ (⋉)	440.0	441.0	0.9962581343417388
5789	ə n -> t / X [-trill] [-C/V, +syllabic, +long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, +tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (a|ɔ|o|œ|ə|ɛ|u|ʊ|i|ʏ|ɪ|ŋ|n|m|l|ç|x|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|dʒ|tʃ|ts|pf|j|h|aː|oː|eː|øː|ɛː|uː|yː|iː) (iː) (r) __ (⋉)	473.0	476.0	0.9921706539399014
4825	ə n -> t / X [-C/V, +syllabic, +long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, +tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (iː) (r) __ (⋉)	517.0	521.0	0.9908701133000024
4656	ə n -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (i|ɪ|iː) (r) __ (⋉)	522.0	527.0	0.9890273053514124
27323	m a x ə n -> g ə m a x t / X [-long, -spread.gl, -lateral] __ [-begin/end]	m a x ə n -> g ə m a x t / (a|ɔ|o|œ|ə|ɛ|u|ʊ|i|ʏ|ɪ|ŋ|r|n|m|ç|x|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|dʒ|tʃ|ts|pf|j) __ (⋉)	19.0	19.0	0.9704351819646336
8342	ə n -> t / X [-C/V, +syllabic, +long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -low, +front, -back, +tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (eː|iː) (r) __ (⋉)	529.0	545.0	0.9688583098170344
295	n -> t / X [+C/V, -syllabic, -long, +consonantal, +sonorant, -trill, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -DORSAL] [-C/V, +syllabic, -long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, -back, -tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	n -> t / (n|l) (ə) (r) __ (⋉)	17.0	17.0	0.9671336001971432
6782	ə n -> t / X [-C/V, +syllabic, +long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -low, +front, -back] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (eː|ɛː|iː) (r) __ (⋉)	531.0	549.0	0.9653962686131644
28153	g ə n -> ç t / X [+continuant, -trill, -nasal, -spread.gl, -labiodental, -lateral] [+C/V, -syllabic, -long, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -trill, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] [-C/V, +syllabic, -long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, -tense] __ [-begin/end]	g ə n -> ç t / (a|ɔ|o|œ|ə|ɛ|u|ʊ|i|ʏ|ɪ|ç|x|ʒ|z|ʃ|s|j|aː|oː|eː|øː|ɛː|uː|yː|iː) (t) (ɪ) __ (⋉)	15.0	15.0	0.9630014039207851
2251	n -> t / X [+C/V, -syllabic, -long, +consonantal, +continuant, -trill, -nasal, +voice, -spread.gl, -round, -DORSAL] [-C/V, +syllabic, -long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, -back, -tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	n -> t / (l|ʒ|z|v) (ə) (r) __ (⋉)	15.0	15.0	0.9630014039207851
6949	ə n -> t / X [-C/V, +syllabic, +long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (uː|yː|iː) (r) __ (⋉)	522.0	542.0	0.9612175145993088
4775	ə n -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (u|ʊ|i|ʏ|ɪ|uː|yː|iː) (r) __ (⋉)	530.0	551.0	0.960014511049081
5653	ə n -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -low, +front, -back] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	ə n -> t / (ɛ|i|ɪ|eː|ɛː|iː) (r) __ (⋉)	537.0	559.0	0.9587772231980404
29750	x ə n -> ç t / X [-long, -spread.gl, -lateral] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -DORSAL] [-C/V, +syllabic, -long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, -tense] __ [-begin/end]	x ə n -> ç t / (a|ɔ|o|œ|ə|ɛ|u|ʊ|i|ʏ|ɪ|ŋ|r|n|m|ç|x|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|dʒ|tʃ|ts|pf|j) (l) (ɪ) __ (⋉)	13.0	13.0	0.95767970492169
2063	n -> t / X [-C/V, +syllabic, -long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low] [+C/V, -syllabic, -long, +consonantal, +sonorant, -continuant, -approximant, -trill, +nasal, +voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -DORSAL] [-C/V, +syllabic, -long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, -back, -tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -DORSAL] __ [-begin/end]	n -> t / (u|ʊ|i|ʏ|ɪ) (m) (ə) (l) __ (⋉)	13.0	13.0	0.95767970492169
14	n -> t / X [+C/V, -syllabic, -long, +consonantal, -sonorant, -continuant, -approximant, -trill, -nasal, -voice, -spread.gl, +LABIAL, -round, -CORONAL, -lateral, -DORSAL] [-C/V, +syllabic, -long, -consonantal, +sonorant, +continuant, +approximant, -trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, -back, -tense] [+C/V, -syllabic, -long, +consonantal, +sonorant, +continuant, +approximant, +trill, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	n -> t / (p|pf) (ə) (r) __ (⋉)	13.0	13.0	0.95767970492169
