rule_idx	rule	rule_regex	hits	scope	confidence	accuracy10.0	accuracy5.0
26834	∅ -> ɪ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (o|e) (t) __ (⋉)	587.0	587.0	0.9989984143583344	0.983249581239531	0.991554054054054
14073	∅ -> d / X [+C/V, -syllabic, -spread.gl] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, -back, -tense] __ [-begin/end]	∅ -> d / (ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|w|j|ɹ) (ə) __ (⋉)	343.0	343.0	0.998287829118091	0.9716713881019832	0.985632183908046
24319	∅ -> ɪ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -low, +front, -back, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (e|i) (t) __ (⋉)	597.0	601.0	0.99208321733937	0.97708674304419	0.9851485148514852
13311	∅ -> d / X [+C/V, -syllabic, -spread.gl, -round, -lateral] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -DORSAL] __ [-begin/end]	∅ -> d / (ŋ|n|m|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|j|ɹ) (l) __ (⋉)	315.0	315.0	0.9981360809083294	0.9692307692307692	0.984375
1137	∅ -> t / X [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -round, -lateral, -DORSAL] __ [-begin/end]	∅ -> t / (ʃ|s|f|θ) __ (⋉)	602.0	607.0	0.9904708377866174	0.9756888168557536	0.9836601307189542
24179	∅ -> ɪ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -low, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (o|e|u|i) (t) __ (⋉)	656.0	663.0	0.988188888467218	0.974739970282318	0.9820359281437124
17205	∅ -> d / X [+C/V, -syllabic, +consonantal, -spread.gl, -round] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, +low, -front, -back] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð) (a) (ɪ) (z) __ (⋉)	218.0	218.0	0.9973102191816628	0.956140350877193	0.9775784753363228
20887	∅ -> d / X [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (ʒ|z|ð) __ (⋉)	530.0	539.0	0.9816955007350756	0.965391621129326	0.9742647058823528
22556	∅ -> ɪ d / X [+C/V, -syllabic, +consonantal, -continuant, -approximant, -spread.gl, -round, -labiodental, -lateral] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (ŋ|n|m|k|g|t|p|d|b) (t) __ (⋉)	223.0	225.0	0.9880608439529728	0.948936170212766	0.9695652173913044
24242	∅ -> ɪ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -back] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (a|ə|e|ɛ) (t) __ (⋉)	633.0	649.0	0.9738392242062638	0.960546282245827	0.9678899082568808
8355	∅ -> d / X [+C/V, -syllabic, +consonantal, +continuant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -DORSAL] __ [-begin/end]	∅ -> d / (l|ʒ|z|ð) __ (⋉)	1072.0	1103.0	0.9708373066704508	0.963162623539982	0.967509025270758
27701	∅ -> ɪ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ) (t) __ (⋉)	720.0	740.0	0.9715767847818344	0.96	0.9664429530201344
21762	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|i|ɪ|ʒ|z|ð|j|ɹ) __ (⋉)	1312.0	1355.0	0.9673186981769776	0.9611721611721612	0.9647058823529412
8641	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|i|ɪ|l|ʒ|z|ð|j|ɹ) __ (⋉)	1854.0	1919.0	0.9653646363458694	0.9611197511664076	0.9636174636174636
12950	∅ -> d / X [+C/V, -syllabic, -nasal, -spread.gl, -round, -lateral] [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|j|ɹ) (n) __ (⋉)	129.0	129.0	0.9954676551027588	0.9280575539568344	0.9626865671641792
