lemma	form	tag	model_rating
b ɑː s t	b ɑː s t ɪ d	V;PST;1;SG	0.7432073592760391
b ɑː s t	b ɑː s t	V;PST;1;SG	0.43574979538755493
b ɪ n d	b ɪ n d ɪ d	V;PST;1;SG	0.6952578187915557
b ɪ n d	b ɪ n t	V;PST;1;SG	0.09595858699458996
b l aɪ	b l aɪ d	V;PST;1;SG	1.239867428103739
b l aɪ	b l uː	V;PST;1;SG	0
b l eɪ k	b l eɪ k t	V;PST;1;SG	1.1960414929285568
b l eɪ k	b l eɪ k	V;PST;1;SG	0.030903671130700174
b r ʌ s t	b r ʌ s t ɪ d	V;PST;1;SG	0.7432073592760391
b r ʌ s t	b r ʌ s t	V;PST;1;SG	0.43574979538755493
d r iː v	d r iː v d	V;PST;1;SG	1.2270802015322027
d r iː v	d r ɛ f t	V;PST;1;SG	0.22773931855726492
d ʒ ɪ d	d ʒ ɪ d ɪ d	V;PST;1;SG	0.6952578187915557
d ʒ ɪ d	d ʒ ɪ d	V;PST;1;SG	0.15572563426157393
ə l aɪ z	ə l aɪ z d	V;PST;1;SG	1.2783092674717556
ə l aɪ z	ə l əʊ z	V;PST;1;SG	0
f ɛ t	f ɛ t ɪ d	V;PST;1;SG	0.7568683275450017
f ɛ t	f ɛ t	V;PST;1;SG	0.23901851281134093
f ɪ l d	f ɪ l d ɪ d	V;PST;1;SG	0.6952578187915557
f ɪ l d	f ɪ l t	V;PST;1;SG	0.09595858699458996
f ɪ ŋ	f ɪ ŋ d	V;PST;1;SG	1.2226837297364699
f ɪ ŋ	f ʌ ŋ	V;PST;1;SG	0
f l ɪ ŋ k	f l ɪ ŋ k t	V;PST;1;SG	1.1960414929285568
f l ɪ ŋ k	f l ʌ ŋ k	V;PST;1;SG	1.0867515403545711
f r aɪ v	f r aɪ v d	V;PST;1;SG	1.2270802015322027
f r aɪ v	f r əʊ v	V;PST;1;SG	0.8484547195251556
f r iː m	f r iː m d	V;PST;1;SG	1.2493373854897063
f r iː m	f r ɛ m p t	V;PST;1;SG	0
f r ɪ ŋ k	f r ɪ ŋ k t	V;PST;1;SG	1.1960414929285568
f r ɪ ŋ k	f r a ŋ k	V;PST;1;SG	0.4221823465625106
ɡ ɑː s t	ɡ ɑː s t ɪ d	V;PST;1;SG	0.7432073592760391
ɡ ɑː s t	ɡ ɑː s t	V;PST;1;SG	0.43574979538755493
ɡ eɪ k	ɡ eɪ k t	V;PST;1;SG	1.1960414929285568
ɡ eɪ k	ɡ ʊ k	V;PST;1;SG	0
ɡ l ɪ t	ɡ l ɪ t ɪ d	V;PST;1;SG	0.7326580850796061
ɡ l ɪ t	ɡ l ɪ t	V;PST;1;SG	0.4696768365217578
ɡ r aɪ	ɡ r aɪ d	V;PST;1;SG	1.2744941150548832
ɡ r aɪ	ɡ r əʊ d	V;PST;1;SG	0
ɡ r aɪ b	ɡ r aɪ b d	V;PST;1;SG	1.269761585236954
ɡ r aɪ b	ɡ r əʊ b	V;PST;1;SG	0.23210587222974374
ɡ r aɪ v	ɡ r aɪ v d	V;PST;1;SG	1.2270802015322027
ɡ r aɪ v	ɡ r əʊ v	V;PST;1;SG	0.8484547195251556
ɡ r eɪ k	ɡ r eɪ k t	V;PST;1;SG	1.1960414929285568
ɡ r eɪ k	ɡ r eɪ k	V;PST;1;SG	0.030903671130700174
ɡ r ɛ d	ɡ r ɛ d ɪ d	V;PST;1;SG	0.7337471409883092
ɡ r ɛ d	ɡ r ɛ d	V;PST;1;SG	0.4696768365217578
ɡ r iː m	ɡ r iː m d	V;PST;1;SG	1.2493373854897063
ɡ r iː m	ɡ r ɛ m p t	V;PST;1;SG	0
ɡ r iː p	ɡ r iː p t	V;PST;1;SG	1.2421794331782325
ɡ r iː p	ɡ r ɛ p t	V;PST;1;SG	0.9373211031927243
ɡ r ɪ ŋ	ɡ r ɪ ŋ d	V;PST;1;SG	1.2226837297364699
ɡ r ɪ ŋ	ɡ r ɔː t	V;PST;1;SG	0
